Nama Tempat,Status Operasional,Rating,Jumlah Ulasan,Alamat,Situs Web,Nomor Telepon,URL Google Maps,Latitude,Longitude
Depot Wijaya,Tidak Tutup Permanen,"4,2",21,"Gg. Ps. Sarinongko Jl. Kenanga 1 No.:04, RW.LK II, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0852-7969-1263,https://www.google.com/maps/place/Depot+Wijaya/data=!4m7!3m6!1s0x2e473260c8929b87:0x1fc11c8b189ba38e!8m2!3d-5.3546558!4d104.9800263!16s%2Fg%2F11gblbyxgy!19sChIJh5uSyGAyRy4RjqObGIscwR8?authuser=0&hl=id&rclk=1,-5.3546558,104.9800263
JOIN COFFEE,Tidak Tutup Permanen,"4,4",12,"Jl. Raden Intan, Wonodadi, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35367",N/A,N/A,https://www.google.com/maps/place/JOIN+COFFEE/data=!4m7!3m6!1s0x2e40d350ae0f697f:0x5ac683bf89db1c48!8m2!3d-5.3806825!4d105.0464633!16s%2Fg%2F11p5fn9m4w!19sChIJf2kPrlDTQC4RSBzbib-Dxlo?authuser=0&hl=id&rclk=1,-5.3806825,105.0464633
Fortan street coffee,Tidak Tutup Permanen,"5,0",1,"MX35+89P, Gg. Tani, Fajar Esuk, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Fortan+street+coffee/data=!4m7!3m6!1s0x2e47330075443d15:0x76943b1989e258f9!8m2!3d-5.3466731!4d104.9584436!16s%2Fg%2F11x98cdzk5!19sChIJFT1EdQAzRy4R-VjiiRk7lHY?authuser=0&hl=id&rclk=1,-5.3466731,104.9584436
Sop Durian 99 Pringsewu,Tidak Tutup Permanen,"4,4",74,"JXRF+99C, Jl. Ki Hajar Dewantara, Pringsewu Sel., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0823-8059-5644,https://www.google.com/maps/place/Sop+Durian+99+Pringsewu/data=!4m7!3m6!1s0x2e47326f51634829:0xedd8b78fcdb9b1c5!8m2!3d-5.3590646!4d104.9734033!16s%2Fg%2F11hc_kfdpk!19sChIJKUhjUW8yRy4RxbG5zY-32O0?authuser=0&hl=id&rclk=1,-5.3590646,104.9734033
cafe Darma,Tidak Tutup Permanen,"5,0",1,"MX28+MRP, Unnamed Road, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/cafe+Darma/data=!4m7!3m6!1s0x2e47333f3df4e13b:0xc8ca02de2ef5385!8m2!3d-5.3482931!4d104.9670891!16s%2Fg%2F11fb0c2cpm!19sChIJO-H0PT8zRy4RhVPv4i2gjAw?authuser=0&hl=id&rclk=1,-5.3482931,104.9670891
Lt. 2 Cafe & Resto,Tidak Tutup Permanen,"5,0",2,"J2P2+J8F, Jl. Ahmad Yani, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung",N/A,0812-1329-2211,https://www.google.com/maps/place/Lt.+2+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e4733005c22e147:0x346f2f0dc9ecb2f6!8m2!3d-5.3634395!4d105.0008122!16s%2Fg%2F11wfgdgfv9!19sChIJR-EiXAAzRy4R9rLsyQ0vbzQ?authuser=0&hl=id&rclk=1,-5.3634395,105.0008122
Mamae Cafe,Tidak Tutup Permanen,"5,0",2,"MX29+CXG, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0813-7955-0540,https://www.google.com/maps/place/Mamae+Cafe/data=!4m7!3m6!1s0x2e4733d9fec1b989:0x9e68d027c60c0f13!8m2!3d-5.3489297!4d104.9699416!16s%2Fg%2F11gm_0_knf!19sChIJibnB_tkzRy4REw8MxifQaJ4?authuser=0&hl=id&rclk=1,-5.3489297,104.9699416
CAFE L557,Tidak Tutup Permanen,"4,3",15,"JXVH+4J7, Jl. Melati 1, RT.2/RW.1, Pringombo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0898-5524-821,https://www.google.com/maps/place/CAFE+L557/data=!4m7!3m6!1s0x2e4733d509e83f29:0x5bd28a3fc026d3d1!8m2!3d-5.3572036!4d104.9790598!16s%2Fg%2F11gjtv0fd9!19sChIJKT_oCdUzRy4R0dMmwD-K0ls?authuser=0&hl=id&rclk=1,-5.3572036,104.9790598
Teras cafe,Tidak Tutup Permanen,"3,8",13,"JXWJ+935, Gg. Ps. Sarinongko, RT.06/RW.03, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0821-8403-0228,https://www.google.com/maps/place/Teras+cafe/data=!4m7!3m6!1s0x2e4733bfe1fa11cd:0x373b0a902e2dc4e3!8m2!3d-5.3541069!4d104.9802483!16s%2Fg%2F11j2f4l4l0!19sChIJzRH64b8zRy4R48QtLpAKOzc?authuser=0&hl=id&rclk=1,-5.3541069,104.9802483
The OverTime Cafe,Tidak Tutup Permanen,"4,2",28,"Ambarawa Bar., Kec. Ambarawa, Kabupaten Pringsewu, Lampung 35376",instagram.com,0857-8931-1899,https://www.google.com/maps/place/The+OverTime+Cafe/data=!4m7!3m6!1s0x2e472d08869712b5:0x762c51a0308eb1ec!8m2!3d-5.4140316!4d104.9440884!16s%2Fg%2F11fct4qx_k!19sChIJtRKXhggtRy4R7LGOMKBRLHY?authuser=0&hl=id&rclk=1,-5.4140316,104.9440884
Fomo Coffee and Cake,Tidak Tutup Permanen,"5,0",4,"JXVC+W9, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",instagram.com,0821-7747-6119,https://www.google.com/maps/place/Fomo+Coffee+and+Cake/data=!4m7!3m6!1s0x2e473300175ed025:0x860e49c4df35ec1f!8m2!3d-5.3551928!4d104.9709478!16s%2Fg%2F11mcbvvsbx!19sChIJJdBeFwAzRy4RH-w138RJDoY?authuser=0&hl=id&rclk=1,-5.3551928,104.9709478
Egg Waffle Es krim Pringsewu,Tidak Tutup Permanen,"4,8",21,"Jl. Pringadi No.613, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0822-8079-8607,https://www.google.com/maps/place/Egg+Waffle+Es+krim+Pringsewu/data=!4m7!3m6!1s0x2e473329b3ddcba7:0x1114bb7ee9da0b03!8m2!3d-5.3506927!4d104.9791248!16s%2Fg%2F11j0htbscq!19sChIJp8vdsykzRy4RAwva6X67FBE?authuser=0&hl=id&rclk=1,-5.3506927,104.9791248
Cafe ajizz wik wik,Tidak Tutup Permanen,"5,0",1,"JXVH+GJF, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0822-1603-1050,https://www.google.com/maps/place/Cafe+ajizz+wik+wik/data=!4m7!3m6!1s0x2e4733314f7dea81:0x8ec96e9dc127fc89!8m2!3d-5.3561908!4d104.9790591!16s%2Fg%2F11flzq9pyw!19sChIJgep9TzEzRy4RifwnwZ1uyY4?authuser=0&hl=id&rclk=1,-5.3561908,104.9790591
Fun Coffee,Tidak Tutup Permanen,"5,0",2,"JXQQ+82F, Jl. Johar 2, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0878-8776-6329,https://www.google.com/maps/place/Fun+Coffee/data=!4m7!3m6!1s0x2e4733a32f246b77:0x9c05b71b2ee27b4a!8m2!3d-5.3616981!4d104.9875403!16s%2Fg%2F11qq138yg3!19sChIJd2skL6MzRy4RSnviLhu3BZw?authuser=0&hl=id&rclk=1,-5.3616981,104.9875403
Dolpino Cafe,Tidak Tutup Permanen,"4,2",5,"JXWC+3C8, Jl. Pendopo, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Dolpino+Cafe/data=!4m7!3m6!1s0x2e47326834c5bf3f:0x9970fc86aedc16f3!8m2!3d-5.3548252!4d104.9710648!16s%2Fg%2F11gg9blzsv!19sChIJP7_FNGgyRy4R8xbcrob8cJk?authuser=0&hl=id&rclk=1,-5.3548252,104.9710648
Goods Cafe,Tidak Tutup Permanen,"3,6",11,"JXRR+6P4, Jl. Ahmad Yani, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Goods+Cafe/data=!4m7!3m6!1s0x2e47328eb5d8c64f:0x44c19c2f63b140f2!8m2!3d-5.3594933!4d104.9918187!16s%2Fg%2F11gf8f5wn7!19sChIJT8bYtY4yRy4R8kCxYy-cwUQ?authuser=0&hl=id&rclk=1,-5.3594933,104.9918187
Outlet CendolCandil Pringsewu,Tidak Tutup Permanen,"5,0",1,"Jl. Kesehatan No.1, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0823-7900-2588,https://www.google.com/maps/place/Outlet+CendolCandil+Pringsewu/data=!4m7!3m6!1s0x2e4733e8915a940d:0x9abfdfe70a713f8d!8m2!3d-5.3592205!4d104.977193!16s%2Fg%2F11fq8gvbpn!19sChIJDZRakegzRy4RjT9xCuffv5o?authuser=0&hl=id&rclk=1,-5.3592205,104.977193
Kios Kebon Kopi,Tidak Tutup Permanen,"5,0",7,"Jl. Ahmad Yani, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0853-7769-2166,https://www.google.com/maps/place/Kios+Kebon+Kopi/data=!4m7!3m6!1s0x2e473325ee92b489:0x6e48b6eeb5f0ac1!8m2!3d-5.3562051!4d104.9797615!16s%2Fg%2F11qbpv8dvp!19sChIJibSS7iUzRy4RwQpf626L5AY?authuser=0&hl=id&rclk=1,-5.3562051,104.9797615
Cafe Adis,Tidak Tutup Permanen,"4,8",6,"JXMP+4X9, Panjerejo, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35373",N/A,0813-6970-85632,https://www.google.com/maps/place/Cafe+Adis/data=!4m7!3m6!1s0x2e4733823bc1b747:0x10ac0306a8b8ba5a!8m2!3d-5.3672222!4d104.9874735!16s%2Fg%2F11g1qjbpz5!19sChIJR7fBO4IzRy4RWrq4qAYDrBA?authuser=0&hl=id&rclk=1,-5.3672222,104.9874735
Jonga Java Cafe,Tidak Tutup Permanen,"5,0",1,"JXWC+HQH, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0821-8639-3912,https://www.google.com/maps/place/Jonga+Java+Cafe/data=!4m7!3m6!1s0x2e4732429c4a6f27:0x99ef8e600c75bf49!8m2!3d-5.3535735!4d104.9719999!16s%2Fg%2F11hd6z63b3!19sChIJJ29KnEIyRy4RSb91DGCO75k?authuser=0&hl=id&rclk=1,-5.3535735,104.9719999
TROPIS_CAFE,Tidak Tutup Permanen,"5,0",3,"JXVC+7PV, Pringsewu Sel., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0857-6844-1647,https://www.google.com/maps/place/TROPIS_CAFE/data=!4m7!3m6!1s0x2e4733c9878225ab:0xc98c781a0890fbe3!8m2!3d-5.3567587!4d104.9718124!16s%2Fg%2F11fq8jzxdl!19sChIJqyWCh8kzRy4R4_uQCBp4jMk?authuser=0&hl=id&rclk=1,-5.3567587,104.9718124
Kopi Bubuk Cap Kidang Mas,Tidak Tutup Permanen,"4,4",28,"Jl. Johar 2 No.126, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,(0729) 24335,https://www.google.com/maps/place/Kopi+Bubuk+Cap+Kidang+Mas/data=!4m7!3m6!1s0x2e47326386627d53:0x5df423a542ba18f1!8m2!3d-5.360702!4d104.9800757!16s%2Fg%2F11b6dfz13v!19sChIJU31ihmMyRy4R8Ri6QqUj9F0?authuser=0&hl=id&rclk=1,-5.360702,104.9800757
Black Burger Pringsewu,Tidak Tutup Permanen,"4,8",5,"JXQW+CQF, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0858-3846-7613,https://www.google.com/maps/place/Black+Burger+Pringsewu/data=!4m7!3m6!1s0x2e47328fda187401:0x775d2ccbd7290341!8m2!3d-5.3614274!4d104.9969129!16s%2Fg%2F11ggvwr46z!19sChIJAXQY2o8yRy4RQQMp18ssXXc?authuser=0&hl=id&rclk=1,-5.3614274,104.9969129
Lanakila Lake,Tidak Tutup Permanen,"4,5",1118,"Pamenang, Kec. Pagelaran, Kabupaten Pringsewu, Lampung 35376",N/A,0851-7227-2151,https://www.google.com/maps/place/Lanakila+Lake/data=!4m7!3m6!1s0x2e47319a999989f5:0x5949fd9e9c2c3974!8m2!3d-5.3422599!4d104.9094582!16s%2Fg%2F11swn46_2f!19sChIJ9YmZmZoxRy4RdDksnJ79SVk?authuser=0&hl=id&rclk=1,-5.3422599,104.9094582
Point Coffee,Tidak Tutup Permanen,"5,0",1,"Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",pointcoffee.id,1 500 280,https://www.google.com/maps/place/Point+Coffee/data=!4m7!3m6!1s0x2e47334cf16ef635:0x6a630801ab0d54a3!8m2!3d-5.3568835!4d104.9830616!16s%2Fg%2F11vsz9bprx!19sChIJNfZu8UwzRy4Ro1QNqwEIY2o?authuser=0&hl=id&rclk=1,-5.3568835,104.9830616
Mandza official pringsewu,Tidak Tutup Permanen,"4,2",6,"JXV3+XW2, Fajar Esuk, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0812-7916-5641,https://www.google.com/maps/place/Mandza+official+pringsewu/data=!4m7!3m6!1s0x2e4733e7970f172f:0x8e7926b1dafd0f32!8m2!3d-5.3551063!4d104.9547781!16s%2Fg%2F11h4xr5yzd!19sChIJLxcPl-czRy4RMg_92rEmeY4?authuser=0&hl=id&rclk=1,-5.3551063,104.9547781
Pringsewu Rest Area,Tidak Tutup Permanen,"4,5",1458,"J2H6+6W3, Jl. Raya Wates, Wates, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,N/A,https://www.google.com/maps/place/Pringsewu+Rest+Area/data=!4m7!3m6!1s0x2e4732a08c743b35:0x6fd1427197651bfb!8m2!3d-5.37199!4d105.012291!16s%2Fg%2F11bych58j0!19sChIJNTt0jKAyRy4R-xtll3FC0W8?authuser=0&hl=id&rclk=1,-5.37199,105.012291
EtC.Place,Tidak Tutup Permanen,"4,6",14,"J2P2+R89, Jl. Lintas Sidoharjo, Bulukarto, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,N/A,https://www.google.com/maps/place/EtC.Place/data=!4m7!3m6!1s0x2e47335e359400eb:0xdf6e4ad3e342944a!8m2!3d-5.3632159!4d105.0011216!16s%2Fg%2F11s7yyj586!19sChIJ6wCUNV4zRy4RSpRC49NKbt8?authuser=0&hl=id&rclk=1,-5.3632159,105.0011216
Waroeng Classic,Tidak Tutup Permanen,"5,0",3,"Jl. Ahmad Yani No.160, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Waroeng+Classic/data=!4m7!3m6!1s0x2e4733002ca573c5:0x38dfd6d516ae1b82!8m2!3d-5.3604719!4d104.9941289!16s%2Fg%2F11xfqw2780!19sChIJxXOlLAAzRy4RghuuFtXW3zg?authuser=0&hl=id&rclk=1,-5.3604719,104.9941289
Rodion Cafe,Tidak Tutup Permanen,"5,0",1,"JXRG+89X, Jl. Gereja, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0822-8208-9348,https://www.google.com/maps/place/Rodion+Cafe/data=!4m7!3m6!1s0x2e473265da4ca695:0x238cbd36ee26ddf1!8m2!3d-5.3591368!4d104.975977!16s%2Fg%2F11hbbz3f37!19sChIJlaZM2mUyRy4R8d0m7ja9jCM?authuser=0&hl=id&rclk=1,-5.3591368,104.975977
Ummika coffe & resto ( MALIOSEWU),Tidak Tutup Permanen,"3,8",16,"Jl. Pelita 2, Bulukarto, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,0822-7874-4538,https://www.google.com/maps/place/Ummika+coffe+%26+resto+%28+MALIOSEWU%29/data=!4m7!3m6!1s0x2e4733006a5b7815:0xf3566fba4aa45f90!8m2!3d-5.3632613!4d105.0048029!16s%2Fg%2F11lcsw9qks!19sChIJFXhbagAzRy4RkF-kSrpvVvM?authuser=0&hl=id&rclk=1,-5.3632613,105.0048029
Spotbox Cafe Lampung,Tidak Tutup Permanen,"3,5",2,"Jl. Ahmad Yani No.999, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Spotbox+Cafe+Lampung/data=!4m7!3m6!1s0x2e4733681c0a252f:0x8bf3db72ac3991ce!8m2!3d-5.3549711!4d104.9839679!16s%2Fg%2F11g_v6rb8j!19sChIJLyUKHGgzRy4RzpE5rHLb84s?authuser=0&hl=id&rclk=1,-5.3549711,104.9839679
kost Kuro,Tidak Tutup Permanen,"4,8",10,"JXPG+J53, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0822-6739-2524,https://www.google.com/maps/place/kost+Kuro/data=!4m7!3m6!1s0x2e4733c8c7b3a971:0x5867a68150771a0b!8m2!3d-5.3634773!4d104.975429!16s%2Fg%2F11h6c642fg!19sChIJcamzx8gzRy4RCxp3UIGmZ1g?authuser=0&hl=id&rclk=1,-5.3634773,104.975429
Angin Utara Coffee and Eatery,Tidak Tutup Permanen,,0,"Jl. Lkr. Utara Pringsewu Jl. Raya Yogyakarta Selatan, Jogyakarta, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,0812-8387-2387,https://www.google.com/maps/place/Angin+Utara+Coffee+and+Eatery/data=!4m7!3m6!1s0x2e4733da502145b1:0xafb8fb5955c4b28e!8m2!3d-5.3552301!4d105.0239787!16s%2Fg%2F11xkvb6zvz!19sChIJsUUhUNozRy4RjrLEVVn7uK8?authuser=0&hl=id&rclk=1,-5.3552301,105.0239787
ALEGRA CAFE,Tidak Tutup Permanen,"4,2",6,"Jalan areto jaya Tambahkarto, RT.001 rw001, Tambak Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,0853-5750-1010,https://www.google.com/maps/place/ALEGRA+CAFE/data=!4m7!3m6!1s0x2e40d323691bde51:0x2fe687429c05318!8m2!3d-5.3763425!4d105.0411122!16s%2Fg%2F11y8f1pw19!19sChIJUd4baSPTQC4RGFPAKXRo_gI?authuser=0&hl=id&rclk=1,-5.3763425,105.0411122
cafe pras,Tidak Tutup Permanen,,0,"JXVG+QWR, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0831-6838-7505,https://www.google.com/maps/place/cafe+pras/data=!4m7!3m6!1s0x2e47339687c827dd:0x9937c2c66749da5e!8m2!3d-5.3555083!4d104.97727!16s%2Fg%2F11f7q0fw2c!19sChIJ3SfIh5YzRy4RXtpJZ8bCN5k?authuser=0&hl=id&rclk=1,-5.3555083,104.97727
Co.garasicoffee,Tidak Tutup Permanen,"4,7",3,"JXQM+XRX, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0813-6850-8040,https://www.google.com/maps/place/Co.garasicoffee/data=!4m7!3m6!1s0x2e47330dd9ff9189:0x4e5ab41cc115735a!8m2!3d-5.3600164!4d104.9846171!16s%2Fg%2F11t8n85gwv!19sChIJiZH_2Q0zRy4RWnMVwRy0Wk4?authuser=0&hl=id&rclk=1,-5.3600164,104.9846171
DAPUR IMDOMIE DONUT,Tidak Tutup Permanen,"5,0",1,"kampung baru Lk 1, RT.,003/RW.,001, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0822-6975-8733,https://www.google.com/maps/place/DAPUR+IMDOMIE+DONUT/data=!4m7!3m6!1s0x2e4733c226fbf01f:0x3b73f1a071a758e2!8m2!3d-5.349857!4d104.9754265!16s%2Fg%2F11gnpy9jrm!19sChIJH_D7JsIzRy4R4lincaDxczs?authuser=0&hl=id&rclk=1,-5.349857,104.9754265
Caffe De'cora,Tidak Tutup Permanen,"5,0",2,"Tahu sumedang, Jl. Ahmad Yani, Sidoharjo, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35373",N/A,0858-1727-8760,https://www.google.com/maps/place/Caffe+De%27cora/data=!4m7!3m6!1s0x2e47332b865fd905:0xb937f0cb029433b7!8m2!3d-5.3631216!4d105.0001714!16s%2Fg%2F11t_k5v1_f!19sChIJBdlfhiszRy4RtzOUAsvwN7k?authuser=0&hl=id&rclk=1,-5.3631216,105.0001714
Wahyu Kafe Bar,Tidak Tutup Permanen,"5,0",3,"JVHV+W38, Patoman, Kec. Pagelaran, Kabupaten Pringsewu, Lampung 35376",N/A,0822-8297-2262,https://www.google.com/maps/place/Wahyu+Kafe+Bar/data=!4m7!3m6!1s0x2e47313b68b1b379:0xbe15f0acda9ab81e!8m2!3d-5.3702035!4d104.8927044!16s%2Fg%2F11gy9vx20p!19sChIJebOxaDsxRy4RHria2qzwFb4?authuser=0&hl=id&rclk=1,-5.3702035,104.8927044
Kedai Kafe kopi Toton,Tidak Tutup Permanen,"4,0",2,"JXPF+GGW, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Kedai+Kafe+kopi+Toton/data=!4m7!3m6!1s0x2e4733dd77061b1b:0x65ce8e4e16c8c9c2!8m2!3d-5.363642!4d104.9738259!16s%2Fg%2F11gm8h__4x!19sChIJGxsGd90zRy4RwsnIFk6OzmU?authuser=0&hl=id&rclk=1,-5.363642,104.9738259
Latar Desa,Tidak Tutup Permanen,"4,2",103,"Rejosari, Kec. Pringsewu, Kabupaten Pringsewu, Lampung",N/A,0821-7589-7878,https://www.google.com/maps/place/Latar+Desa/data=!4m7!3m6!1s0x2e47334163a9f03f:0xd3fc4d27028192ac!8m2!3d-5.3367337!4d104.9606775!16s%2Fg%2F11sy4hc6k7!19sChIJP_CpY0EzRy4RrJKBAidN_NM?authuser=0&hl=id&rclk=1,-5.3367337,104.9606775
cheese.pringsewu,Tidak Tutup Permanen,"5,0",2,"MX8M+WXC, Unnamed Road, Rejosari, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/cheese.pringsewu/data=!4m7!3m6!1s0x2e4733c19dc44dbf:0xbc67b1f4cd616991!8m2!3d-5.3326986!4d104.9848879!16s%2Fg%2F11fn6y2cy1!19sChIJv03EncEzRy4RkWlhzfSxZ7w?authuser=0&hl=id&rclk=1,-5.3326986,104.9848879
Bella cafe,Tidak Tutup Permanen,,0,"MX3Q+33R, Podomoro, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0852-7978-9900,https://www.google.com/maps/place/Bella+cafe/data=!4m7!3m6!1s0x2e4733688bd6be7d:0xc79939cce0789893!8m2!3d-5.347258!4d104.9876305!16s%2Fg%2F11g2wvjt4r!19sChIJfb7Wi2gzRy4Rk5h44Mw5mcc?authuser=0&hl=id&rclk=1,-5.347258,104.9876305
choffee prings',Tidak Tutup Permanen,"5,0",1,"JXQM+JMQ, Pringombo, Pringsewu, Lampung, Indonesia, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0858-4141-3407,https://www.google.com/maps/place/choffee+prings%27/data=!4m7!3m6!1s0x2e473262606239a3:0x14cc2b14c178871c!8m2!3d-5.3609013!4d104.9842208!16s%2Fg%2F11b6dfvpjs!19sChIJozliYGIyRy4RHId4wRQrzBQ?authuser=0&hl=id&rclk=1,-5.3609013,104.9842208
"Waroeng Santai Podomoro,Pringsewu",Tidak Tutup Permanen,"4,6",8,"MX3Q+6C6, Jl. Lap. Megaria, Podomoro, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,"https://www.google.com/maps/place/Waroeng+Santai+Podomoro,Pringsewu/data=!4m7!3m6!1s0x2e47339fb39c3b03:0xfec27d9f2f53b602!8m2!3d-5.3469545!4d104.9885198!16s%2Fg%2F11lm64p_s2!19sChIJAzucs58zRy4RArZTL599wv4?authuser=0&hl=id&rclk=1",-5.3469545,104.9885198
Warkop 96 Pringsewu,Tidak Tutup Permanen,"4,3",3,"J2P3+F8F, Bulukarto, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung",N/A,0815-3997-2956,https://www.google.com/maps/place/Warkop+96+Pringsewu/data=!4m7!3m6!1s0x2e4733006f588c6f:0xf1281720762d3239!8m2!3d-5.3638203!4d105.0032894!16s%2Fg%2F11x78lzxhy!19sChIJb4xYbwAzRy4ROTItdiAXKPE?authuser=0&hl=id&rclk=1,-5.3638203,105.0032894
wawan Cafe,Tidak Tutup Permanen,"5,0",3,"JXXF+4C2, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/wawan+Cafe/data=!4m7!3m6!1s0x2e47334c4d16a3fb:0xfd15421ced38ff26!8m2!3d-5.3522372!4d104.9735142!16s%2Fg%2F11gwdztm1y!19sChIJ-6MWTUwzRy4RJv847RxCFf0?authuser=0&hl=id&rclk=1,-5.3522372,104.9735142
BackLand Coffee & Me,Tidak Tutup Permanen,"4,4",125,"Jl. Bhayangkara, Dusun V, Bagelen, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung",wa.me,0881-7213-204,https://www.google.com/maps/place/BackLand+Coffee+%26+Me/data=!4m7!3m6!1s0x2e40d3998914d625:0x44e57d2981ae07f5!8m2!3d-5.3739614!4d105.1063044!16s%2Fg%2F11s3c8f6md!19sChIJJdYUiZnTQC4R9QeugSl95UQ?authuser=0&hl=id&rclk=1,-5.3739614,105.1063044
cafe erpan,Tidak Tutup Permanen,"3,0",1,"JXJH+QR6, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0831-6838-9572,https://www.google.com/maps/place/cafe+erpan/data=!4m7!3m6!1s0x2e47335efa3e967d:0x55a015d68c414e6c!8m2!3d-5.3680977!4d104.9795274!16s%2Fg%2F11g1__dlx5!19sChIJfZY--l4zRy4RbE5BjNYVoFU?authuser=0&hl=id&rclk=1,-5.3680977,104.9795274
At Kopi,Tidak Tutup Permanen,"4,6",9,"MX4F+C8C, Gg. Tani, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/At+Kopi/data=!4m7!3m6!1s0x2e4733f9b0009aff:0x902a325c08bae83!8m2!3d-5.3439364!4d104.9732536!16s%2Fg%2F11p46rp69z!19sChIJ_5oAsPkzRy4Rg66LwCWjAgk?authuser=0&hl=id&rclk=1,-5.3439364,104.9732536
Langit D'jajan,Tidak Tutup Permanen,"4,6",126,"J3GH+X8R, Kutoarjo, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung",instagram.com,0811-7979-638,https://www.google.com/maps/place/Langit+D%27jajan/data=!4m7!3m6!1s0x2e40d3e7ac7f6e31:0x39740904d41e34b6!8m2!3d-5.3725277!4d105.0779689!16s%2Fg%2F11sxwq1q2j!19sChIJMW5_rOfTQC4RtjQe1AQJdDk?authuser=0&hl=id&rclk=1,-5.3725277,105.0779689
