Nama Tempat,Status Operasional,Rating,Jumlah Ulasan,Alamat,Situs Web,Nomor Telepon,URL Google Maps,Latitude,Longitude
Kopi Ben Wareg,Tidak Tutup Permanen,"4,4",578,"Jl. Ahmad Yani No.1007, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",kopibwlampung.blogspot.co.id,N/A,https://www.google.com/maps/place/Kopi+Ben+Wareg/data=!4m7!3m6!1s0x2e4732611b117d89:0x691182584005e200!8m2!3d-5.3566915!4d104.9819017!16s%2Fg%2F11b75ctj71!19sChIJiX0RG2EyRy4RAOIFQFiCEWk?authuser=0&hl=id&rclk=1,-5.3566915,104.9819017
Warunk Lesung,Tidak Tutup Permanen,"4,7",123,"Jl. Kesehatan, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",instagram.com,0887-0704-8822,https://www.google.com/maps/place/Warunk+Lesung/data=!4m7!3m6!1s0x2e4733222d3535f7:0xc675f00b3dddece!8m2!3d-5.3622547!4d104.976432!16s%2Fg%2F11h6d5k032!19sChIJ9zU1LSIzRy4Rzt7dswBfZww?authuser=0&hl=id&rclk=1,-5.3622547,104.976432
Balik Bukit Coffee and Dinning,Tidak Tutup Permanen,"4,4",173,"pajarisuk, Pajar Agung, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0822-7883-2838,https://www.google.com/maps/place/Balik+Bukit+Coffee+and+Dinning/data=!4m7!3m6!1s0x2e473371f3099e97:0x58c7b17363b39152!8m2!3d-5.3620415!4d104.9425276!16s%2Fg%2F11qsv88235!19sChIJl54J83EzRy4RUpGzY3Oxx1g?authuser=0&hl=id&rclk=1,-5.3620415,104.9425276
Cafe 86 Pringsewu,Tidak Tutup Permanen,"4,1",28,"JXRP+C3G, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Cafe+86+Pringsewu/data=!4m7!3m6!1s0x2e4733f6601725c9:0x4ef3b8b06eda09b7!8m2!3d-5.3588742!4d104.9851721!16s%2Fg%2F11sg5srd33!19sChIJySUXYPYzRy4RtwnabrC4804?authuser=0&hl=id&rclk=1,-5.3588742,104.9851721
Javas Coffee,Tidak Tutup Permanen,"4,6",25,"JXQH+6CF, Jl. Melati 3, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0812-1415-2092,https://www.google.com/maps/place/Javas+Coffee/data=!4m7!3m6!1s0x2e473386e5be11c9:0xef236c086d5acdfd!8m2!3d-5.3619443!4d104.9785467!16s%2Fg%2F11sqh9xfhb!19sChIJyRG-5YYzRy4R_c1abQhsI-8?authuser=0&hl=id&rclk=1,-5.3619443,104.9785467
Kopi Ruang Hati Pringsewu,Tidak Tutup Permanen,"4,6",84,"JXQG+7VW, Jl. Melati 3, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0857-8366-6913,https://www.google.com/maps/place/Kopi+Ruang+Hati+Pringsewu/data=!4m7!3m6!1s0x2e47330bf1feb937:0x5e214ebe774335dd!8m2!3d-5.3617545!4d104.977209!16s%2Fg%2F11fsk8514_!19sChIJN7n-8QszRy4R3TVDd75OIV4?authuser=0&hl=id&rclk=1,-5.3617545,104.977209
D'Pring's Cafe,Tidak Tutup Permanen,"4,3",32,"JXRQ+QGX, Jl. Ahmad Yani, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/D%27Pring%27s+Cafe/data=!4m7!3m6!1s0x2e47328bd3e7f451:0xe21f26f8db03f2a3!8m2!3d-5.3580048!4d104.9888632!16s%2Fg%2F11f38qpkxw!19sChIJUfTn04syRy4Ro_ID2_gmH-I?authuser=0&hl=id&rclk=1,-5.3580048,104.9888632
Coffee Klasik,Tidak Tutup Permanen,"4,6",35,"Pringombo, Jl. Mawar III No.132, Pringsewu Tim., Kabupaten Pringsewu, Lampung 35372",N/A,0813-7981-0280,https://www.google.com/maps/place/Coffee+Klasik/data=!4m7!3m6!1s0x2e4733ede5d6e14d:0xc76a4cb6f1e9fb5b!8m2!3d-5.3592743!4d104.9816238!16s%2Fg%2F11pdvvrg2m!19sChIJTeHW5e0zRy4RW_vp8bZMasc?authuser=0&hl=id&rclk=1,-5.3592743,104.9816238
Habis Senja Coffee & Resto,Tidak Tutup Permanen,"4,9",12,"Jl. Satria, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0821-8054-9787,https://www.google.com/maps/place/Habis+Senja+Coffee+%26+Resto/data=!4m7!3m6!1s0x2e473378ec1ce32f:0x6127df2db3b585cb!8m2!3d-5.3507435!4d104.9701314!16s%2Fg%2F11t6yc_vpz!19sChIJL-Mc7HgzRy4Ry4W1sy3fJ2E?authuser=0&hl=id&rclk=1,-5.3507435,104.9701314
Coffee In ( cafe & resto ),Tidak Tutup Permanen,"5,0",7,"Jl. Ahmad Yani No.1639, Gading Rejo, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,0812-7337-7766,https://www.google.com/maps/place/Coffee+In+%28+cafe+%26+resto+%29/data=!4m7!3m6!1s0x2e40d34e8801b519:0xc0643e7aee51b31!8m2!3d-5.373152!4d105.0589427!16s%2Fg%2F11ptm68278!19sChIJGbUBiE7TQC4RMRvlrudDBgw?authuser=0&hl=id&rclk=1,-5.373152,105.0589427
KEBARATIMUR COFFEE,Tidak Tutup Permanen,"5,0",24,"Rejosari, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0821-4455-7655,https://www.google.com/maps/place/KEBARATIMUR+COFFEE/data=!4m7!3m6!1s0x2e4733dea6d2bdef:0x504c6273bce644fa!8m2!3d-5.3397753!4d104.971254!16s%2Fg%2F11lllw8pl6!19sChIJ773Spt4zRy4R-kTmvHNiTFA?authuser=0&hl=id&rclk=1,-5.3397753,104.971254
Ummika caffe & resto,Tidak Tutup Permanen,"3,8",104,"MX4F+RRJ, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Ummika+caffe+%26+resto/data=!4m7!3m6!1s0x2e4733d7a24bc73b:0xad2620296f08ef77!8m2!3d-5.3428273!4d104.9744341!16s%2Fg%2F11rt_mq3kj!19sChIJO8dLotczRy4Rd-8IbykgJq0?authuser=0&hl=id&rclk=1,-5.3428273,104.9744341
Waroeng Uyee,Tidak Tutup Permanen,"4,8",19,"Jl. Sakti Raya, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0895-2990-9734,https://www.google.com/maps/place/Waroeng+Uyee/data=!4m7!3m6!1s0x2e473382f1d7f3c7:0x67e60871a6e33256!8m2!3d-5.352353!4d104.9751251!16s%2Fg%2F11gxmw15hm!19sChIJx_PX8YIzRy4RVjLjpnEI5mc?authuser=0&hl=id&rclk=1,-5.352353,104.9751251
Maro Coffea,Tidak Tutup Permanen,"4,6",59,"JXW9+6MJ, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Maro+Coffea/data=!4m7!3m6!1s0x2e47330d9fd84557:0xc02c09b143a12ed6!8m2!3d-5.3544183!4d104.9691487!16s%2Fg%2F11j38k1rrs!19sChIJV0XYnw0zRy4R1i6hQ7EJLMA?authuser=0&hl=id&rclk=1,-5.3544183,104.9691487
Coffee story official,Tidak Tutup Permanen,"4,9",11,"Jl. Palapa No.490, Pringsewu Sel., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Coffee+story+official/data=!4m7!3m6!1s0x2e47336fac406c97:0xc5156c8622299a83!8m2!3d-5.3600723!4d104.9683958!16s%2Fg%2F11j005lgtm!19sChIJl2xArG8zRy4Rg5opIoZsFcU?authuser=0&hl=id&rclk=1,-5.3600723,104.9683958
dsawah.idn,Tidak Tutup Permanen,"4,9",37,"Jl Melon 1, Perumnas Jl. Podosari Raya, Pringsewu Regency, Lampung",N/A,N/A,https://www.google.com/maps/place/dsawah.idn/data=!4m7!3m6!1s0x2e47333a46d77e31:0xcf5c5a3ff295a0e4!8m2!3d-5.3332987!4d104.9864156!16s%2Fg%2F11pz8n14p5!19sChIJMX7XRjozRy4R5KCV8j9aXM8?authuser=0&hl=id&rclk=1,-5.3332987,104.9864156
IDJN KOPI,Tidak Tutup Permanen,"4,9",107,"bawah bukit bintang, Podomoro, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",instagram.com,0821-8101-8189,https://www.google.com/maps/place/IDJN+KOPI/data=!4m7!3m6!1s0x2e473304a2b62639:0xdc12220844b7e5a2!8m2!3d-5.3440514!4d104.9857976!16s%2Fg%2F11gw2nwzs7!19sChIJOSa2ogQzRy4RouW3RAgiEtw?authuser=0&hl=id&rclk=1,-5.3440514,104.9857976
HozzCoffee,Tidak Tutup Permanen,"4,8",82,"Gg. Ansor, Ambarawa, Kec. Ambarawa, Kabupaten Pringsewu, Lampung 35376",N/A,0895-1403-9140,https://www.google.com/maps/place/HozzCoffee/data=!4m7!3m6!1s0x2e472df354b6a131:0x64ce0436d34471a1!8m2!3d-5.4067815!4d104.958648!16s%2Fg%2F11n0pgnn45!19sChIJMaG2VPMtRy4RoXFE0zYEzmQ?authuser=0&hl=id&rclk=1,-5.4067815,104.958648
Mosse's Coffee House,Tidak Tutup Permanen,"4,8",9,"jln Sangkal putung no 026,fajar isuk,padang bulan, Fajar Esuk, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0853-2881-0800,https://www.google.com/maps/place/Mosse%27s+Coffee+House/data=!4m7!3m6!1s0x2e4733f09e8b461d:0x74989a0ce5761011!8m2!3d-5.3481497!4d104.9542007!16s%2Fg%2F11g1knt0w4!19sChIJHUaLnvAzRy4RERB25QyamHQ?authuser=0&hl=id&rclk=1,-5.3481497,104.9542007
"Wedrink Pringsewu Sidoharjo - Ice Cream, Tea & Coffee",Tidak Tutup Permanen,"4,8",250,"sebelah esteh indonesia & seblak jebreed, Jl. Ahmad Yani No.161, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0851-7517-5109,"https://www.google.com/maps/place/Wedrink+Pringsewu+Sidoharjo+-+Ice+Cream,+Tea+%26+Coffee/data=!4m7!3m6!1s0x2e4733fdf0b75fa1:0x56e284fccee68b20!8m2!3d-5.3597428!4d104.9921708!16s%2Fg%2F11krdcklv5!19sChIJoV-38P0zRy4RIIvmzvyE4lY?authuser=0&hl=id&rclk=1",-5.3597428,104.9921708
Cafe BUANA SAMUDERA,Tidak Tutup Permanen,"4,3",10,"JXWC+5FW, Jl. Pendopo, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0822-8138-6984,https://www.google.com/maps/place/Cafe+BUANA+SAMUDERA/data=!4m7!3m6!1s0x2e473269ccc47d21:0xb3b4d0d3089c61b6!8m2!3d-5.354519!4d104.9711943!16s%2Fg%2F11gg_vc43x!19sChIJIX3EzGkyRy4RtmGcCNPQtLM?authuser=0&hl=id&rclk=1,-5.354519,104.9711943
KAKO coffee bar & roastery,Tidak Tutup Permanen,"4,7",15,"Jl. Raya Yogyakarta Barat, Jogyakarta, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,0812-7148-2425,https://www.google.com/maps/place/KAKO+coffee+bar+%26+roastery/data=!4m7!3m6!1s0x2e4733ddb5d7e149:0x5f93e1537ef510e8!8m2!3d-5.3515391!4d105.0211922!16s%2Fg%2F11h75zfkqy!19sChIJSeHXtd0zRy4R6BD1flPhk18?authuser=0&hl=id&rclk=1,-5.3515391,105.0211922
TOMPEL cafe and resto,Tidak Tutup Permanen,"5,0",1,"J288+8H7, Wates, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,N/A,https://www.google.com/maps/place/TOMPEL+cafe+and+resto/data=!4m7!3m6!1s0x2e472da0614f0a81:0x945d36534da40c67!8m2!3d-5.3842155!4d105.0164322!16s%2Fg%2F11gk5_g5zk!19sChIJgQpPYaAtRy4RZwykTVM2XZQ?authuser=0&hl=id&rclk=1,-5.3842155,105.0164322
Kalium Marchendise | Food&Beverage | Barbershop,Tidak Tutup Permanen,"5,0",1,"kantor pajak, Gg. Melati, Pringsewu Utara, Sebelah utara, Kabupaten Pringsewu, Lampung 35373",instagram.com,0813-1871-4714,https://www.google.com/maps/place/Kalium+Marchendise+%7C+Food%26Beverage+%7C+Barbershop/data=!4m7!3m6!1s0x2e4733cd4ebf2bc7:0xfa1f7cee357e69a6!8m2!3d-5.3456396!4d104.9750233!16s%2Fg%2F11rv97l__y!19sChIJxyu_Ts0zRy4Rpml-Ne58H_o?authuser=0&hl=id&rclk=1,-5.3456396,104.9750233
El Zafran kafe dan lesehan,Tidak Tutup Permanen,"4,9",14,"JVJV+4RF, Jl. Raya Panutan, Patoman, Kec. Pagelaran, Kabupaten Pringsewu, Lampung 35376",N/A,0812-7885-0044,https://www.google.com/maps/place/El+Zafran+kafe+dan+lesehan/data=!4m7!3m6!1s0x2e4731809c0ee021:0x130f47b6c4521256!8m2!3d-5.3696989!4d104.8945552!16s%2Fg%2F11skd4d3sc!19sChIJIeAOnIAxRy4RVhJSxLZHDxM?authuser=0&hl=id&rclk=1,-5.3696989,104.8945552
Garden Cafe,Tidak Tutup Permanen,"5,0",7,"JXWG+XM6, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Garden+Cafe/data=!4m7!3m6!1s0x2e4733a13c3099a3:0x9b891670ee8b326a!8m2!3d-5.3525961!4d104.9766426!16s%2Fg%2F11llhx5s1g!19sChIJo5kwPKEzRy4RajKL7nAWiZs?authuser=0&hl=id&rclk=1,-5.3525961,104.9766426
kafe pelabuhan merak bakauheni,Tidak Tutup Permanen,"4,9",12,"JXRG+R48, Gg. Panda, Podomoro, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0812-7382-6808,https://www.google.com/maps/place/kafe+pelabuhan+merak+bakauheni/data=!4m7!3m6!1s0x2e47338553f24fbd:0xf2d86e8a7f64a67f!8m2!3d-5.3579606!4d104.9753299!16s%2Fg%2F11g44_cfnb!19sChIJvU_yU4UzRy4Rf6Zkf4pu2PI?authuser=0&hl=id&rclk=1,-5.3579606,104.9753299
Kaala Steak House Pringsewu,Tidak Tutup Permanen,"4,1",122,"Jl. Ahmad Yani, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0821-8526-0445,https://www.google.com/maps/place/Kaala+Steak+House+Pringsewu/data=!4m7!3m6!1s0x2e47335e59cdaeb9:0x4389555756697935!8m2!3d-5.359877!4d104.9928797!16s%2Fg%2F11p6ww6gs2!19sChIJua7NWV4zRy4RNXlpVldViUM?authuser=0&hl=id&rclk=1,-5.359877,104.9928797
Kedai Milenio Garden,Tidak Tutup Permanen,"4,9",13,"JXQV+XCW, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Kedai+Milenio+Garden/data=!4m7!3m6!1s0x2e4733000e3a90e5:0x6b0f560963e2e23!8m2!3d-5.3600147!4d104.9935657!16s%2Fg%2F11vz5hc_f5!19sChIJ5ZA6DgAzRy4RIy4-lmD1sAY?authuser=0&hl=id&rclk=1,-5.3600147,104.9935657
Uncle Jakks coffee,Tidak Tutup Permanen,"5,0",9,"Jl. Kesehatan No.41, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Uncle+Jakks+coffee/data=!4m7!3m6!1s0x2e47339cccacb0f3:0x7b27fa81cd8ff1b3!8m2!3d-5.3593696!4d104.9771309!16s%2Fg%2F11n19fd84h!19sChIJ87CszJwzRy4Rs_GPzYH6J3s?authuser=0&hl=id&rclk=1,-5.3593696,104.9771309
Point Coffee,Tidak Tutup Permanen,"4,2",24,"Jl. Jenderal Sudirman No.KEL, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",pointcoffee.id,(021) 1500280,https://www.google.com/maps/place/Point+Coffee/data=!4m7!3m6!1s0x2e47332da9543f19:0xb9d1f83884041afb!8m2!3d-5.354466!4d104.9725083!16s%2Fg%2F11j0sf1k08!19sChIJGT9UqS0zRy4R-xoEhDj40bk?authuser=0&hl=id&rclk=1,-5.354466,104.9725083
Lays Cake Pringsewu,Tidak Tutup Permanen,"4,4",24,"MX29+8X6, Gg. Apel, Pringsewu Bar., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0857-8963-3901,https://www.google.com/maps/place/Lays+Cake+Pringsewu/data=!4m7!3m6!1s0x2e4732438dd45741:0xf6fad17c9344e4c!8m2!3d-5.3492139!4d104.9698802!16s%2Fg%2F11f3s1xbds!19sChIJQVfUjUMyRy4RTE40yRetbw8?authuser=0&hl=id&rclk=1,-5.3492139,104.9698802
Taman Wisata BMJ,Tidak Tutup Permanen,"4,4",265,"J393+F9G, Wonodadi, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35367",N/A,N/A,https://www.google.com/maps/place/Taman+Wisata+BMJ/data=!4m7!3m6!1s0x2e40d3ce1f925dc3:0xdbb850ddbf007572!8m2!3d-5.3813187!4d105.0534646!16s%2Fg%2F11mvvk70y2!19sChIJw12SH87TQC4RcnUAv91QuNs?authuser=0&hl=id&rclk=1,-5.3813187,105.0534646
Simpang Lima Coffee,Tidak Tutup Permanen,"4,4",56,"JXWG+5Q7, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Simpang+Lima+Coffee/data=!4m7!3m6!1s0x2e4733d4be183e17:0xe63a873d7d75a25f!8m2!3d-5.3545898!4d104.9769351!16s%2Fg%2F11jvzhs58c!19sChIJFz4YvtQzRy4RX6J1fT2HOuY?authuser=0&hl=id&rclk=1,-5.3545898,104.9769351
Cafe Nindy,Tidak Tutup Permanen,"5,0",2,"JXVQ+G7H, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,N/A,https://www.google.com/maps/place/Cafe+Nindy/data=!4m7!3m6!1s0x2e4733ad35cb8d25:0xbec73ebed1c1a85d!8m2!3d-5.3561865!4d104.9882329!16s%2Fg%2F11gmdmtc3b!19sChIJJY3LNa0zRy4RXajB0b4-x74?authuser=0&hl=id&rclk=1,-5.3561865,104.9882329
Embun Pagi Coffee Pringsewu,Tidak Tutup Permanen,"5,0",1,"Jl. Raya Gadingrejo No.163, RT./RW/RW.001/004, Gading Rejo, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372",N/A,0812-4849-9085,https://www.google.com/maps/place/Embun+Pagi+Coffee+Pringsewu/data=!4m7!3m6!1s0x2e40d36088fafaa7:0x9d78023aa7cfa896!8m2!3d-5.3750097!4d105.0624542!16s%2Fg%2F11rg15980m!19sChIJp_r6iGDTQC4RlqjPpzoCeJ0?authuser=0&hl=id&rclk=1,-5.3750097,105.0624542
VIN`S LOUNGE,Tidak Tutup Permanen,"4,9",15,"JXXQ+6G3, Jl. Sarinongko, Podomoro, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0822-8963-2441,https://www.google.com/maps/place/VIN%60S+LOUNGE/data=!4m7!3m6!1s0x2e47336ef20ed9f7:0x7bc2c12d0af7f71b!8m2!3d-5.3519821!4d104.9887828!16s%2Fg%2F11jqz4j7m2!19sChIJ99kO8m4zRy4RG_f3Ci3Bwns?authuser=0&hl=id&rclk=1,-5.3519821,104.9887828
Cafe & Karaoke Green,Tidak Tutup Permanen,"4,1",218,"JXWG+GHG, Jl. KH. Gholib Raya, RT.01/RW.03, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0813-7340-5669,https://www.google.com/maps/place/Cafe+%26+Karaoke+Green/data=!4m7!3m6!1s0x2e4732678748a1eb:0x53afa249feeb0f70!8m2!3d-5.3536999!4d104.9764446!16s%2Fg%2F11cjpx9ldf!19sChIJ66FIh2cyRy4RcA_r_kmir1M?authuser=0&hl=id&rclk=1,-5.3536999,104.9764446
Waroenk Cafe R' Family,Tidak Tutup Permanen,"5,0",4,"MX4G+P4V, Jl. Kyai H. Ghalib Gg. Waysemah Lingkungan V, Pringsewu Utara, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373",N/A,0823-5155-3761,https://www.google.com/maps/place/Waroenk+Cafe+R%27+Family/data=!4m7!3m6!1s0x2e473394d0a716cd:0x1ce9947d5ef75cad!8m2!3d-5.3431334!4d104.9753122!16s%2Fg%2F11qh759_9v!19sChIJzRan0JQzRy4RrVz3Xn2U6Rw?authuser=0&hl=id&rclk=1,-5.3431334,104.9753122
Saung Kringkrong,Tidak Tutup Permanen,"4,5",192,"Fajar Esuk, Kec. Pringsewu, Kabupaten Pringsewu, Lampung",N/A,0819-9243-5996,https://www.google.com/maps/place/Saung+Kringkrong/data=!4m7!3m6!1s0x2e4733ef61afbbe3:0x907b7013663f8a3c!8m2!3d-5.352099!4d104.955169!16s%2Fg%2F11hx2s890f!19sChIJ47uvYe8zRy4RPIo_ZhNwe5A?authuser=0&hl=id&rclk=1,-5.352099,104.955169
